s;i(l_motor);v(s1);v(s2);v(s3);v(s4);v(sop1);v(sop2);v(sop3);v(sop4);time;v(ul_motor);v(vbrake);v(vdirection);v(venable);v(vpwm)
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1,50000005305628E-6;-1,63757896132211E-15;0,00299605005420744;0,00299605005420744;0,00299605005420744;0,00299605005420744;9,78664875030518;1,55908477306366;9,78664875030518;1,55908477306366;1,50000005305628E-6;19,8943538665771;0;0;0;0
1,50000198573252E-6;-1,637580655388E-15;0,00299605145119131;0,00299605145119131;0,00299605145119131;0,00299605145119131;9,78664684295654;1,55908453464508;9,78664684295654;1,55908453464508;1,50000198573252E-6;19,8943614959717;0;0;0;0
1,50000596477184E-6;-1,63758732577246E-15;0,00299605447798967;0,00299605447798967;0,00299605447798967;0,00299605447798967;9,78663635253906;1,5590842962265;9,78663635253906;1,5590842962265;1,50000596477184E-6;19,8943729400635;0;0;0;0
1,50001403653732E-6;-1,63761030154115E-15;0,00299606029875577;0,00299606029875577;0,00299606029875577;0,00299606029875577;9,78661155700684;1,55908405780792;9,78661155700684;1,55908405780792;1,50001403653732E-6;19,8943862915039;0;0;0;0
1,5000299526946E-6;-1,63768791093495E-15;0,00299607194028795;0,00299607194028795;0,00299607194028795;0,00299607194028795;9,78654861450195;1,55908346176147;9,78654861450195;1,55908346176147;1,5000299526946E-6;19,8943996429443;0;0;0;0
1,50006201238284E-6;-1,63777907285589E-15;0,00299609545618296;0,00299609545618296;0,00299609545618296;0,00299609545618296;9,78641319274902;1,55908238887787;9,78641319274902;1,55908238887787;1,50006201238284E-6;19,8944110870361;0;0;0;0
1,50012601807248E-6;-1,63730791077898E-15;0,00299614202231169;0,00299614202231169;0,00299614202231169;0,00299614202231169;9,78613471984863;1,55908012390137;9,78613471984863;1,55908012390137;1,50012601807248E-6;19,8944244384766;0;0;0;0
1,50025402945175E-6;-1,63579680400108E-15;0,00299623492173851;0,00299623492173851;0,00299623492173851;0,00299623492173851;9,7855806350708;1,55907571315765;9,7855806350708;1,55907571315765;1,50025402945175E-6;19,8944549560547;0;0;0;0
1,5005100522103E-6;-1,63502261588729E-15;0,00299641862511635;0,00299641862511635;0,00299641862511635;0,00299641862511635;9,78447246551514;1,55906701087952;9,78447246551514;1,55906701087952;1,5005100522103E-6;19,8945121765137;0;0;0;0
